attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,clean_pred_class,adv_pred_class,target_confidence
pgd_error_specific,0.001,True,random,694,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,dataset/attacks/NN1/error_specific/pgd/random/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,0.001,0.000867,7185,7185,7.05838658632274e-07
pgd_error_specific,0.001,True,random,2363,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,dataset/attacks/NN1/error_specific/pgd/random/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,0.001,0.000853,7185,1168,0.0065525309182703495
pgd_error_specific,0.001,True,random,7896,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,dataset/attacks/NN1/error_specific/pgd/random/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,0.001,0.000861,7185,7185,1.3560049410443753e-05
pgd_error_specific,0.001,True,random,6992,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,dataset/attacks/NN1/error_specific/pgd/random/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,0.001,0.000867,7185,7185,1.490600709530554e-07
pgd_error_specific,0.001,True,random,6913,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,dataset/attacks/NN1/error_specific/pgd/random/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,0.001,0.000853,7185,7185,1.9919800251955166e-05
pgd_error_specific,0.001,True,random,750,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,dataset/attacks/NN1/error_specific/pgd/random/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,0.001,0.000869,7185,7185,0.00016734299424570054
pgd_error_specific,0.001,True,random,4608,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,dataset/attacks/NN1/error_specific/pgd/random/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,0.001,0.000867,7185,7185,2.694084741960978e-07
pgd_error_specific,0.001,True,random,700,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,dataset/attacks/NN1/error_specific/pgd/random/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,0.001,0.000858,7185,7185,3.317067694297293e-06
pgd_error_specific,0.001,True,random,2600,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,dataset/attacks/NN1/error_specific/pgd/random/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,0.001,0.000864,7185,7185,0.0003428050549700856
pgd_error_specific,0.001,True,random,952,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,dataset/attacks/NN1/error_specific/pgd/random/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,0.001,0.000867,7185,7185,5.78805247641867e-06
