attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation
pgd,0.025,False,untargeted,,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,dataset/attacks/error_generic/pgd/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,0.025,0.015145
pgd,0.025,False,untargeted,,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,dataset/attacks/error_generic/pgd/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,0.025,0.015003
pgd,0.025,False,untargeted,,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,dataset/attacks/error_generic/pgd/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,0.025,0.015388
pgd,0.025,False,untargeted,,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,dataset/attacks/error_generic/pgd/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,0.025,0.015552
pgd,0.025,False,untargeted,,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,dataset/attacks/error_generic/pgd/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,0.025,0.015356
pgd,0.025,False,untargeted,,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,dataset/attacks/error_generic/pgd/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,0.025,0.01549
pgd,0.025,False,untargeted,,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,dataset/attacks/error_generic/pgd/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,0.025,0.015705
pgd,0.025,False,untargeted,,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,dataset/attacks/error_generic/pgd/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,0.025,0.015124
pgd,0.025,False,untargeted,,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,dataset/attacks/error_generic/pgd/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,0.025,0.015382
pgd,0.025,False,untargeted,,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,dataset/attacks/error_generic/pgd/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,0.025,0.016012
